Xid, State, StartTime, EndTime, TransactionTime, ExecuteTime, CommunicationTime, ReadTime, WriteTime, DBTime
14, 1, 1636428093852, 1636428094350, 498, 80, 418, 35, 5, 40
16, 1, 1636428094698, 1636428095107, 409, 4, 405, 1, 1, 2
18, 1, 1636428095418, 1636428095827, 409, 4, 405, 2, 0, 2
20, 1, 1636428096138, 1636428096546, 408, 4, 404, 2, 1, 3
22, 1, 1636428096814, 1636428097227, 413, 4, 409, 2, 0, 2
24, 1, 1636428097494, 1636428097902, 408, 3, 405, 1, 0, 1
26, 1, 1636428098170, 1636428098578, 408, 4, 404, 0, 1, 1
29, 1, 1636428098842, 1636428099250, 408, 2, 406, 2, 0, 2
31, 1, 1636428099518, 1636428099938, 420, 3, 417, 2, 0, 2
33, 1, 1636428100206, 1636428100614, 408, 3, 405, 0, 0, 0
35, 1, 1636428100882, 1636428101294, 412, 4, 408, 1, 0, 1
37, 1, 1636428101562, 1636428101970, 408, 2, 406, 1, 0, 1
40, 1, 1636428102234, 1636428102642, 408, 3, 405, 1, 0, 1
43, 1, 1636428102910, 1636428103318, 408, 4, 404, 0, 0, 0
46, 1, 1636428103582, 1636428103994, 412, 2, 410, 0, 1, 1
49, 1, 1636428104266, 1636428104676, 410, 7, 403, 0, 1, 1
52, 1, 1636428104942, 1636428105306, 364, 2, 362, 0, 1, 1
54, 1, 1636428105570, 1636428105938, 368, 2, 366, 0, 0, 0
57, 1, 1636428106206, 1636428106566, 360, 3, 357, 0, 0, 0
60, 1, 1636428106834, 1636428107198, 364, 2, 362, 0, 1, 1
63, 1, 1636428107470, 1636428107838, 368, 3, 365, 1, 1, 2
66, 1, 1636428108106, 1636428108469, 363, 2, 361, 0, 0, 0
69, 1, 1636428108734, 1636428109102, 368, 2, 366, 0, 0, 0
72, 1, 1636428109366, 1636428109726, 360, 3, 357, 1, 1, 2
75, 1, 1636428109990, 1636428110354, 364, 2, 362, 0, 0, 0
78, 1, 1636428110618, 1636428110986, 368, 1, 367, 0, 0, 0
81, 1, 1636428111254, 1636428111618, 364, 2, 362, 0, 0, 0
84, 1, 1636428111886, 1636428112246, 360, 1, 359, 0, 1, 1
87, 1, 1636428112518, 1636428112882, 364, 2, 362, 0, 0, 0
90, 1, 1636428113150, 1636428113518, 368, 2, 366, 0, 1, 1
93, 1, 1636428113782, 1636428114146, 364, 2, 362, 0, 1, 1
96, 1, 1636428114410, 1636428114778, 368, 0, 368, 0, 0, 0
99, 1, 1636428115046, 1636428115410, 364, 1, 363, 0, 1, 1
102, 1, 1636428115674, 1636428116034, 360, 1, 359, 0, 0, 0
105, 1, 1636428116298, 1636428116662, 364, 1, 363, 0, 0, 0
108, 1, 1636428116926, 1636428117290, 364, 2, 362, 0, 0, 0
111, 1, 1636428117554, 1636428117922, 368, 0, 368, 0, 0, 0
114, 1, 1636428118186, 1636428118550, 364, 3, 361, 1, 0, 1
117, 1, 1636428118818, 1636428119182, 364, 1, 363, 1, 0, 1
120, 1, 1636428119446, 1636428119810, 364, 1, 363, 0, 0, 0
123, 1, 1636428120078, 1636428120442, 364, 0, 364, 0, 0, 0
126, 1, 1636428120706, 1636428121070, 364, 1, 363, 0, 0, 0
129, 1, 1636428121334, 1636428121698, 364, 1, 363, 0, 0, 0
132, 1, 1636428121962, 1636428122326, 364, 1, 363, 0, 1, 1
135, 1, 1636428122593, 1636428122958, 365, 1, 364, 0, 1, 1
138, 1, 1636428123226, 1636428123590, 364, 2, 362, 0, 0, 0
141, 1, 1636428123862, 1636428124222, 360, 3, 357, 0, 1, 1
144, 1, 1636428124485, 1636428124850, 365, 0, 365, 0, 0, 0
147, 1, 1636428125114, 1636428125482, 368, 0, 368, 0, 0, 0
150, 1, 1636428125746, 1636428126110, 364, 0, 364, 0, 0, 0
153, 1, 1636428126374, 1636428126734, 360, 1, 359, 1, 0, 1
156, 1, 1636428127002, 1636428127366, 364, 0, 364, 0, 0, 0
159, 1, 1636428127630, 1636428127994, 364, 1, 363, 0, 0, 0
162, 1, 1636428128258, 1636428128622, 364, 0, 364, 0, 0, 0
165, 1, 1636428128889, 1636428129253, 364, 2, 362, 1, 0, 1
168, 1, 1636428129522, 1636428129886, 364, 1, 363, 0, 0, 0
171, 1, 1636428130150, 1636428130514, 364, 0, 364, 0, 0, 0
174, 1, 1636428130777, 1636428131146, 369, 1, 368, 0, 0, 0
177, 1, 1636428131410, 1636428131774, 364, 1, 363, 0, 0, 0
180, 1, 1636428132038, 1636428132406, 368, 1, 367, 0, 0, 0
183, 1, 1636428132669, 1636428133034, 365, 1, 364, 0, 0, 0
186, 1, 1636428133298, 1636428133662, 364, 0, 364, 0, 0, 0
189, 1, 1636428133929, 1636428134294, 365, 1, 364, 0, 0, 0
192, 1, 1636428134562, 1636428134927, 365, 1, 364, 0, 0, 0
195, 1, 1636428135194, 1636428135562, 368, 5, 363, 3, 1, 4
198, 1, 1636428135826, 1636428136190, 364, 1, 363, 1, 0, 1
201, 1, 1636428136454, 1636428136814, 360, 0, 360, 0, 0, 0
204, 1, 1636428137078, 1636428137442, 364, 1, 363, 0, 0, 0
