Xid, State, StartTime, EndTime, ExecuteTime, ReadTime, WriteTime, DBTime
1, 1, 1636245557451, 1636245571595, 14144, 0, 0, 0
2, 1, 1636245574482, 1636245616126, 41644, 5, 2, 7
3, 1, 1636245620647, 1636245651266, 30619, 0, 0, 0
5, 1, 1636245652479, 1636245708125, 55646, 5, 0, 5
4, 1, 1636245622742, 1636245771944, 149202, 1, 0, 1
7, 2, 1636245775245, 1636245804451, 29206, 0, 0, 0
6, 1, 1636245767941, 1636245852812, 84871, 1, 0, 1
9, 2, 1636245859394, 1636245900628, 41234, 0, 0, 0
8, 1, 1636245843470, 1636245905511, 62041, 1, 1, 2
