Xid, State, StartTime, EndTime, ExecuteTime, ReadTime, WriteTime, DBTime
1, 1, 1636245564845, 1636245571581, 6736, 7, 3, 10
3, 1, 1636245640434, 1636245651265, 10831, 0, 1, 1
5, 1, 1636245656320, 1636245708124, 51804, 4, 1, 5
4, 1, 1636245704037, 1636245771942, 67905, 4087, 0, 4087
7, 2, 1636245794397, 1636245804450, 10053, 0, 0, 0
6, 1, 1636245786351, 1636245852811, 66460, 0, 0, 0
9, 2, 1636245884281, 1636245900627, 16346, 0, 0, 0
8, 1, 1636245870024, 1636245905511, 35487, 0, 6247, 6247
